Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample33	180	0.902	101.283	56.268%	15.061	44.923%	0.3029
Sample34	64	0.962	15.372	24.019%	3.556	27.435%	0.1023
Sample35	66	0.953	19.641	29.759%	3.905	30.493%	0.402
Sample36	77	0.958	23.617	30.671%	4.251	28.992%	0.2727
Sample37	71	0.937	23.511	33.114%	4.888	35.368%	0.45
Sample38	65	0.966	16.184	24.898%	3.277	25.988%	0.1525
Sample39	194	0.835	138.687	71.488%	21.378	57.135%	0.4361
Sample40	67	0.966	17.242	25.734%	3.512	25.821%	0.2094
Sample41	97	0.887	64.775	66.778%	9.305	47.923%	0.4243
Sample42	58	0.961	14.669	25.291%	3.187	27.739%	0.1563
Sample43	45	0.762	44.382	98.627%	6.997	67.019%	0.7698
Sample44	97	0.885	62.621	64.558%	9.668	48.893%	0.4258
Sample45	107	0.886	66.721	62.356%	9.489	47.504%	0.3904
Sample46	103	0.853	73.666	71.52%	11.637	54.436%	0.4759
Sample47	62	0.926	21.519	34.708%	4.643	38.165%	0.4634
Sample48	45	0.762	44.382	98.627%	6.997	67.019%	0.7698
Sample49	64	0.955	18.42	28.781%	3.679	30.039%	0.2227
Sample50	70	0.887	32.245	46.064%	6.595	46.634%	0.5883
Sample51	62	0.96	17.094	27.571%	3.648	28.314%	0.1335
Sample52	89	0.94	34.169	38.392%	5.842	34.975%	0.4664
Sample53	45	0.762	44.382	98.627%	6.997	67.019%	0.7698
Sample54	65	0.958	17.528	26.966%	3.791	28.822%	0.3333
Sample55	54	0.869	38.644	71.563%	5.517	51.224%	0.4967
Sample56	89	0.916	43.883	49.307%	7.015	40.982%	0.6019
Sample57	71	0.951	18.794	26.47%	4.435	30.975%	0.2615
Sample58	68	0.928	26.203	38.534%	5.036	37.329%	0.3514
Sample59	107	0.887	73.17	68.383%	11.237	49.613%	0.4342
Sample60	63	0.941	21.091	33.478%	4.109	35.106%	0.3261
Sample61	67	0.908	33.679	50.267%	5.147	41.886%	0.3688
Sample62	99	0.886	68.372	69.063%	10.218	49.448%	0.4602
Sample63	59	0.954	14.289	24.219%	3.601	30.113%	0.0894
Sample64	103	0.894	65.752	63.837%	10.159	47.111%	0.3911
Sample65	99	0.858	72.929	73.666%	11.094	53.07%	0.5101
Sample66	66	0.977	13.799	20.908%	2.705	21.385%	0.2295
Sample67	60	0.971	13.355	22.258%	2.83	24.091%	0.1499
Sample68	97	0.89	62.938	64.885%	9.895	47.998%	0.4351
Sample69	66	0.97	15.776	23.903%	3.236	24.532%	0.1546
Sample70	72	0.901	34.565	48.007%	6.113	44.584%	0.6736
Sample71	67	0.928	25.112	37.481%	4.828	38.289%	0.6705
Sample72	75	0.951	23.982	31.976%	4.581	30.956%	0.2038
Sample73	65	0.956	18.469	28.414%	3.761	29.279%	0.2887
Sample74	60	0.972	13.053	21.755%	2.746	23.722%	0.1504
Sample75	69	0.921	25.266	36.617%	5.266	39.807%	0.2863
Sample76	67	0.932	23.487	35.055%	4.793	36.441%	0.4226
Sample77	193	0.859	126.936	65.77%	20.144	52.956%	0.372
Sample78	102	0.892	63.832	62.58%	9.335	47.029%	0.4092
Sample79	93	0.851	73.134	78.639%	10.647	54.262%	0.5985
Sample80	45	0.762	44.382	98.627%	6.997	67.019%	0.7698
Sample81	71	0.933	26.178	36.87%	5.244	35.931%	0.3788
Sample82	62	0.944	19.231	31.018%	4.017	33.02%	0.2005
Sample83	90	0.867	67.528	75.031%	10.375	53.223%	0.5323
Sample84	87	0.874	62.392	71.715%	9.227	51.182%	0.5036
Sample85	97	0.854	72.502	74.744%	12.197	55.614%	0.5067
Sample86	89	0.861	70.499	79.212%	9.974	53.237%	0.5665
Sample87	59	0.937	20.426	34.62%	4.202	34.896%	0.3195
Sample88	89	0.923	39.713	44.621%	6.737	38.961%	0.5117
Sample89	67	0.972	15.83	23.627%	3.106	23.479%	0.3442
Sample90	63	0.954	17.485	27.754%	3.864	30.081%	0.1638
Sample91	65	0.935	20.55	31.615%	4.694	35.483%	0.3841
Sample92	67	0.955	18.947	28.279%	3.866	29.916%	3.1423
Sample93	76	0.937	27.526	36.218%	5.172	35.355%	3.1224
Sample94	88	0.949	29.847	33.917%	5.468	31.675%	0.2535
Sample95	65	0.942	19.74	30.369%	4.284	33.763%	0.1392
Sample96	63	0.933	19.396	30.787%	4.36	36.981%	0.3331
Sample97	66	0.974	14.539	22.029%	2.887	22.544%	0.1238
Sample98	136	0.921	75.412	55.45%	10.065	39.848%	0.3006
Sample99	90	0.841	59.275	65.861%	10.627	54.805%	0.4249
Sample100	65	0.941	21.355	32.854%	4.302	34.334%	0.1774
