Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample83	90	0.982	23.696	26.329%	3.768	19.329%	0.1627
Sample84	87	0.98	22.701	26.093%	3.567	19.786%	0.1448
Sample85	97	0.987	23.745	24.479%	3.761	17.149%	0.1328
Sample86	89	0.976	26.821	30.136%	4.102	21.895%	0.1968
Sample87	59	0.969	20.133	34.124%	3.121	25.918%	0.1704
Sample88	89	0.978	26.767	30.075%	3.656	21.143%	0.1548
Sample89	67	0.981	15.213	22.706%	2.584	19.533%	0.1902
Sample90	63	0.977	17.046	27.057%	2.848	22.172%	0.1781
Sample91	65	0.949	22.281	34.278%	4.195	31.711%	0.296
Sample92	67	0.964	20.675	30.858%	3.441	26.627%	0.19
Sample93	76	0.957	25.498	33.55%	4.226	28.888%	0.2864
Sample94	88	0.978	24.978	28.384%	3.708	21.48%	0.1801
Sample95	65	0.971	18.878	29.043%	3.086	24.321%	0.1421
Sample96	63	0.956	20.379	32.348%	3.45	29.263%	0.1761
Sample97	66	0.977	16.152	24.473%	2.742	21.411%	0.1236
Sample98	136	0.977	41.119	30.235%	5.507	21.802%	0.1324
Sample99	90	0.953	38.752	43.058%	5.871	30.277%	0.2209
Sample100	65	0.954	24.222	37.265%	3.806	30.375%	0.2167
