Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample62	99	0.975	31.902	32.224%	4.702	22.755%	0.2014
Sample63	59	0.957	16.731	28.358%	3.5	29.268%	0.1233
Sample64	103	0.975	34.564	33.557%	5.128	23.781%	0.1813
Sample65	99	0.919	53.2	53.737%	8.235	39.393%	0.3848
Sample66	66	0.979	14.113	21.383%	2.574	20.349%	0.1112
Sample67	60	0.976	14.263	23.772%	2.557	21.767%	0.1563
Sample68	97	0.974	30.892	31.847%	4.979	24.152%	0.1642
Sample69	66	0.974	16.652	25.23%	3.019	22.887%	0.1408
Sample70	72	0.915	32.821	45.585%	5.585	40.733%	0.4055
Sample71	67	0.935	25.606	38.218%	4.521	35.854%	0.2952
Sample72	75	0.958	23.278	31.037%	4.228	28.57%	0.1866
Sample73	65	0.96	19.475	29.962%	3.614	28.135%	0.1987
Sample74	60	0.976	14.292	23.82%	2.548	22.011%	0.1344
Sample75	69	0.949	25.58	37.072%	4.203	31.772%	0.2286
Sample76	67	0.96	23.61	35.239%	3.701	28.138%	0.2117
Sample77	193	0.959	72.132	37.374%	10.76	28.286%	0.1803
Sample78	102	0.968	33.651	32.991%	5.059	25.487%	0.194
Sample79	93	0.95	40.016	43.028%	6.132	31.252%	0.2276
Sample80	45	0.988	8.886	19.747%	1.638	15.689%	0.0742
Sample81	71	0.949	28.501	40.142%	4.717	32.32%	0.254
Sample82	62	0.956	21.271	34.308%	3.589	29.501%	0.2164
Sample83	90	0.975	30.062	33.402%	4.622	23.71%	0.183
Sample84	87	0.97	27.809	31.964%	4.386	24.329%	0.1791
Sample85	97	0.976	31.737	32.719%	5.417	24.699%	0.1502
Sample86	89	0.965	33.128	37.222%	4.937	26.352%	0.2385
Sample87	59	0.96	20.269	34.354%	3.427	28.46%	0.1632
Sample88	89	0.964	30.299	34.044%	4.693	27.14%	0.17
Sample89	67	0.975	15.993	23.87%	2.935	22.187%	0.1643
Sample90	63	0.968	19.242	30.543%	3.307	25.745%	0.1809
Sample91	65	0.94	22.32	34.338%	4.544	34.349%	0.2724
Sample92	67	0.959	18.997	28.354%	3.689	28.546%	0.1494
Sample93	76	0.947	27.689	36.433%	4.716	32.238%	0.2666
Sample94	88	0.976	24.597	27.951%	3.831	22.192%	0.1667
Sample95	65	0.962	21.881	33.663%	3.457	27.245%	0.1678
Sample96	63	0.942	19.323	30.671%	4.019	34.089%	0.2423
Sample97	66	0.975	15.949	24.165%	2.873	22.434%	0.1288
Sample98	136	0.962	46.662	34.31%	6.929	27.432%	0.1559
Sample99	90	0.946	42.928	47.698%	6.678	34.439%	0.2487
Sample100	65	0.941	21.821	33.571%	4.271	34.086%	0.2156
