Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample60	63	0.95	19.581	31.081%	3.722	31.799%	0.2044
Sample61	67	0.903	27.518	41.072%	5.514	44.872%	0.4473
Sample62	99	0.966	33.834	34.176%	5.367	25.973%	0.1673
Sample63	59	0.957	14.911	25.273%	3.471	29.026%	0.1056
Sample64	103	0.968	35.252	34.225%	5.487	25.445%	0.1897
Sample65	99	0.907	57.211	57.789%	8.818	42.182%	0.3879
Sample66	66	0.978	13.833	20.959%	2.635	20.832%	0.1366
Sample67	60	0.975	13.991	23.318%	2.638	22.456%	0.1659
Sample68	97	0.961	35.652	36.755%	5.78	28.037%	0.1661
Sample69	66	0.974	15.602	23.639%	3.034	23.001%	0.1487
Sample70	72	0.909	33.087	45.954%	5.845	42.629%	0.583
Sample71	67	0.931	24.579	36.685%	4.69	37.194%	0.442
Sample72	75	0.951	24.39	32.52%	4.565	30.847%	0.1837
Sample73	65	0.963	17.945	27.608%	3.465	26.975%	0.2214
Sample74	60	0.974	13.609	22.682%	2.642	22.823%	0.1342
Sample75	69	0.933	23.741	34.407%	4.811	36.368%	0.2515
Sample76	67	0.939	22.903	34.184%	4.529	34.433%	0.2132
Sample77	193	0.959	67.349	34.896%	10.884	28.612%	0.1872
Sample78	102	0.961	37.237	36.507%	5.53	27.86%	1.3484
Sample79	93	0.949	41.074	44.166%	6.198	31.588%	0.2332
Sample80	45	0.834	34.824	77.387%	5.763	55.2%	0.5447
Sample81	71	0.933	26.651	37.537%	5.246	35.945%	0.2568
Sample82	62	0.951	19.535	31.508%	3.75	30.825%	0.1803
Sample83	90	0.972	33.212	36.902%	4.791	24.577%	0.2042
Sample84	87	0.968	31.201	35.863%	4.539	25.178%	0.194
Sample85	97	0.975	33.502	34.538%	5.475	24.964%	0.1795
Sample86	89	0.965	34.65	38.933%	4.992	26.645%	0.2457
Sample87	59	0.946	20.012	33.919%	3.916	32.521%	0.1848
Sample88	89	0.927	38.548	43.312%	6.539	37.816%	0.3458
Sample89	67	0.976	15.205	22.694%	2.871	21.703%	0.1949
Sample90	63	0.959	17.905	28.421%	3.67	28.571%	0.1662
Sample91	65	0.935	20.955	32.238%	4.689	35.446%	0.3036
Sample92	67	0.953	19.819	29.581%	3.939	30.481%	0.2679
Sample93	76	0.944	26.635	35.046%	4.838	33.072%	0.4398
Sample94	88	0.962	27.568	31.327%	4.729	27.394%	0.197
Sample95	65	0.95	19.539	30.06%	3.974	31.32%	0.1348
Sample96	63	0.938	19.567	31.059%	4.161	35.293%	0.1885
Sample97	66	0.972	14.951	22.653%	3.018	23.567%	0.1108
Sample98	136	0.953	52.657	38.718%	7.725	30.584%	0.211
Sample99	90	0.848	60.648	67.387%	10.343	53.34%	7.6912
Sample100	65	0.944	21.0	32.308%	4.155	33.161%	0.1707
