Samples	Signature A	Signature B	Signature C	Signature D	Signature E	Signature F	Signature G
Sample66	507	94	96	61	74	105	78
Sample67	504	117	121	62	58	76	52
Sample68	156	488	29	150	36	55	66
Sample69	441	109	239	0	82	98	11
Sample70	333	95	226	178	71	68	21
Sample71	491	142	199	3	51	68	60
Sample72	475	59	0	141	66	92	134
Sample73	527	135	35	115	23	65	108
Sample74	503	113	114	105	82	24	44
Sample75	478	119	121	143	59	0	94
Sample76	427	142	181	40	61	107	27
Sample77	80	410	0	167	166	0	191
Sample78	228	450	128	1	43	9	125
Sample79	165	448	76	110	80	0	99
Sample80	139	0	465	282	0	28	58
Sample81	383	166	194	0	35	247	0
Sample82	400	98	272	45	10	147	12
Sample83	118	451	191	103	29	66	58
Sample84	213	371	171	114	70	13	82
Sample85	97	555	54	76	10	124	69
Sample86	152	441	237	0	55	54	76
Sample87	529	0	134	129	51	105	30
Sample88	430	237	55	97	80	106	18
Sample89	537	84	90	74	51	114	64
Sample90	534	162	80	89	53	29	53
Sample91	505	142	111	0	184	41	43
Sample92	437	40	158	149	88	41	95
Sample93	457	63	143	95	50	91	109
Sample94	447	42	147	215	60	103	15
Sample95	566	141	73	80	65	34	33
Sample96	587	114	99	1	80	41	58
Sample97	564	30	80	84	76	76	90
Sample98	330	106	78	142	108	254	0
Sample99	257	261	56	0	0	301	98
Sample100	502	0	181	115	55	64	75
Sample101	524	59	163	64	70	73	47
Sample102	137	389	142	135	37	49	78
Sample103	462	119	191	53	88	41	31
Sample104	215	160	309	106	0	90	112
Sample105	140	410	141	75	102	53	64
Sample106	566	58	52	158	37	86	51
Sample107	511	115	145	37	103	57	46
Sample108	462	25	170	80	26	234	3
Sample109	401	120	180	63	60	137	19
Sample110	68	476	115	54	60	96	132
Sample111	283	66	82	140	308	129	5
Sample112	443	136	170	61	101	79	18
Sample113	139	0	465	282	0	28	58
Sample114	164	319	120	137	58	0	170
Sample115	434	107	228	68	112	45	27
Sample116	452	103	109	81	42	29	192
Sample117	566	58	52	158	37	86	51
Sample118	529	75	186	75	21	101	28
Sample119	125	165	111	210	258	139	0
Sample120	536	160	111	0	137	0	41
Sample121	510	129	42	123	32	56	100
Sample122	390	194	157	76	50	121	31
Sample123	206	48	554	38	90	38	51
Sample124	76	485	134	94	26	63	89
Sample125	111	392	179	100	41	45	100
Sample126	422	118	106	95	74	198	2
Sample127	224	69	494	0	52	39	82
Sample128	459	91	251	45	67	99	6
Sample129	548	139	75	45	78	36	51
Sample130	577	0	164	36	86	69	48
Sample131	451	116	129	43	69	86	91
Sample132	521	55	124	67	80	94	39
Sample133	527	49	70	168	49	97	48
Sample134	573	63	140	44	78	64	27
Sample135	479	21	135	84	56	99	141
Sample136	476	65	99	148	63	68	89
Sample137	497	20	90	108	38	90	145
Sample138	181	472	46	104	96	0	85
Sample139	300	250	152	86	63	0	164
Sample140	268	56	84	135	313	98	54
Sample141	557	39	118	79	50	105	41
Sample142	241	14	55	257	312	117	0
Sample143	434	31	175	54	8	80	199
Sample144	63	591	116	57	64	30	64
Sample145	141	469	110	80	7	26	135
Sample146	546	97	79	132	53	80	27
Sample147	184	446	174	81	31	42	78
Sample148	532	84	76	152	36	93	27
Sample149	108	165	542	0	14	198	0
Sample150	338	84	142	135	68	218	0
Sample151	508	123	172	0	104	51	22
Sample152	505	122	53	132	34	75	87
Sample153	438	58	78	195	85	161	21
Sample154	108	318	222	152	14	36	125
Sample155	405	78	252	101	48	75	33
Sample156	493	38	117	181	67	79	33
Sample157	540	77	67	156	44	70	46
Sample158	498	127	58	124	47	40	98
Sample159	545	37	129	136	48	34	59
Sample160	187	503	80	40	46	9	104
Sample161	479	134	66	117	7	129	76
Sample162	129	364	67	97	162	0	189
Sample163	460	124	168	33	82	106	35
Sample164	552	64	184	0	82	83	20
Sample165	527	126	124	43	66	64	39
Sample166	441	126	130	5	21	211	66
Sample167	349	34	97	126	69	311	0
Sample168	63	292	477	0	99	11	29
Sample169	106	491	137	39	57	0	148
Sample170	489	134	96	66	80	23	112
Sample171	566	58	52	158	37	86	51
Sample172	159	455	64	141	61	24	75
Sample173	177	457	52	130	50	0	111
Sample174	546	134	39	68	90	23	108
Sample175	117	504	82	101	111	8	59
Sample176	207	94	255	116	0	165	171
Sample177	123	360	98	193	75	0	124
Sample178	416	157	189	19	21	114	92
Sample179	519	75	119	65	86	42	86
Sample180	175	94	486	129	42	67	25
Sample181	455	77	145	146	78	60	31
Sample182	0	251	67	113	248	104	225
Sample183	472	124	149	89	60	62	36
Sample184	110	353	184	122	25	123	57
Sample185	313	31	11	185	373	91	10
Sample186	438	221	178	0	108	7	48
Sample187	454	85	73	261	12	97	38
Sample188	149	456	146	134	38	5	96
Sample189	381	40	46	173	58	290	0
Sample190	576	93	62	85	55	74	41
Sample191	492	125	125	67	91	54	38
Sample192	515	39	104	88	68	72	106
Sample193	139	0	465	282	0	28	58
Sample194	131	514	91	43	139	14	88
Sample195	551	4	142	41	118	100	44
Sample196	157	141	551	0	31	16	136
Sample197	137	414	109	125	39	67	76
Sample198	531	117	29	125	31	65	94
Sample199	492	131	90	91	12	72	102
Sample200	481	53	27	218	86	94	76
Sample201	521	43	169	16	58	113	72
Sample202	137	460	120	94	68	9	80
Sample203	292	177	44	0	304	161	40
Sample204	525	127	75	128	23	75	35
Sample205	91	361	145	137	0	136	111
Sample206	309	109	309	7	27	258	18
Sample207	540	77	67	156	44	70	46
Sample208	491	0	154	169	53	34	80
Sample209	122	410	11	45	266	43	122
Sample210	154	439	95	16	44	114	117
Sample211	139	0	465	282	0	28	58
Sample212	137	446	135	20	108	44	83
Sample213	67	549	139	37	30	100	53
Sample214	506	50	117	119	36	75	97
Sample215	340	85	74	48	335	40	92
Sample216	196	146	184	0	72	262	134
Sample217	131	512	138	61	45	0	81
Sample218	567	22	83	94	70	106	46
Sample219	111	0	118	33	110	333	294
Sample220	72	452	7	81	245	0	152
Sample221	120	427	207	34	21	85	135
Sample222	589	76	107	41	80	72	51
Sample223	146	464	119	61	63	94	21
Sample224	65	537	118	0	57	81	117
Sample225	553	209	55	0	86	51	38
Sample226	497	42	134	58	67	87	94
Sample227	476	28	181	88	48	101	93
Sample228	410	91	11	138	42	191	91
Sample229	293	36	89	133	290	147	30
Sample230	475	174	166	4	84	68	29
Sample231	7	309	0	314	200	0	133
Sample232	547	160	32	37	11	132	95
Sample233	185	102	570	25	27	20	45
Sample234	568	54	54	99	70	64	99
Sample235	573	79	97	54	125	0	57
Sample236	469	140	48	117	25	25	198
Sample237	139	0	465	282	0	28	58
Sample238	186	64	513	0	29	54	196
Sample239	457	148	165	92	61	1	92
Sample240	542	64	129	35	109	81	40
Sample241	588	25	88	125	59	50	51
Sample242	43	87	444	21	204	95	96
Sample243	49	454	198	101	90	0	83
Sample244	478	124	108	56	50	99	77
Sample245	400	158	180	60	56	27	132
Sample246	482	57	90	61	63	121	112
Sample247	551	30	63	164	41	113	52
Sample248	428	108	160	0	53	229	37
Sample249	532	129	43	126	45	62	42
Sample250	190	503	154	17	63	61	42
Sample251	258	0	62	204	298	131	64
Sample252	504	78	87	115	38	91	95
Sample253	487	78	186	55	44	91	38
Sample254	517	110	55	109	49	46	94
Sample255	101	451	88	38	68	136	112
Sample256	139	0	465	282	0	28	58
Sample257	509	63	112	85	41	42	140
Sample258	495	248	0	97	60	63	45
Sample259	517	131	168	0	97	22	57
Sample260	548	0	109	0	93	79	156
Sample261	282	63	89	96	310	112	56
Sample262	44	578	137	6	22	133	66
Sample263	90	540	129	55	22	59	79
Sample264	566	58	52	158	37	86	51
Sample265	334	67	0	146	331	135	4
Sample266	487	121	109	127	20	78	37
Sample267	288	151	240	108	12	113	88
Sample268	521	40	112	102	49	109	56
Sample269	230	182	189	0	83	277	52
Sample270	111	0	118	33	110	333	294
Sample271	466	165	196	2	137	0	42
Sample272	278	28	113	119	301	135	11
Sample273	173	472	39	0	78	88	135
Sample274	448	103	88	83	42	147	89
Sample275	486	189	154	44	89	7	58
Sample276	312	334	83	126	31	0	122
Sample277	489	74	113	152	54	73	32
Sample278	483	166	123	68	40	86	19
Sample279	472	134	187	13	101	20	98
Sample280	509	80	32	100	38	69	152
Sample281	495	40	118	177	71	42	75
Sample282	55	399	238	56	93	42	94
Sample283	551	106	47	140	37	66	45
Sample284	89	572	132	0	50	76	56
Sample285	185	0	385	121	135	124	40
Sample286	112	182	14	270	177	0	260
Sample287	562	102	52	139	58	58	37
Sample288	381	60	27	198	56	78	176
Sample289	499	75	154	95	59	110	35
Sample290	143	515	144	66	34	38	89
Sample291	87	498	106	63	54	24	132
Sample292	612	95	19	147	80	4	51
Sample293	301	108	37	85	355	112	1
Sample294	496	159	125	10	80	101	29
Sample295	452	94	251	63	69	59	4
Sample296	163	293	255	118	20	0	170
Sample297	475	123	125	89	10	79	91
Sample298	176	61	612	0	39	58	77
Sample299	493	129	208	0	100	61	17
Sample300	368	122	263	0	16	234	13
Sample301	91	270	63	290	0	160	107
Sample302	519	137	59	108	33	77	59
Sample303	550	101	128	56	54	54	57
Sample304	415	51	142	184	109	49	58
Sample305	186	451	162	74	38	65	53
Sample306	184	431	3	123	96	0	140
Sample307	482	0	196	39	79	141	82
Sample308	521	141	164	42	89	0	62
Sample309	503	122	129	84	90	39	41
Sample310	520	105	97	98	64	23	85
Sample311	447	0	253	47	83	87	68
Sample312	348	31	144	119	67	279	0
Sample313	139	0	465	282	0	28	58
Sample314	331	0	0	165	298	141	82
Sample315	530	147	102	52	89	31	49
Sample316	519	108	113	35	78	41	106
Sample317	511	224	62	98	60	15	44
Sample318	37	0	388	174	180	126	75
Sample319	515	129	145	15	143	2	51
Sample320	252	91	60	155	299	132	28
Sample321	556	78	103	69	75	62	37
Sample322	109	473	36	86	41	70	169
Sample323	566	58	52	158	37	86	51
Sample324	152	468	42	106	64	0	145
Sample325	568	105	133	5	139	2	48
Sample326	462	91	96	108	62	152	47
Sample327	435	50	203	94	111	64	43
Sample328	25	500	128	87	1	136	111
Sample329	57	445	198	53	7	138	130
Sample330	475	3	135	147	64	11	150
Sample331	54	252	0	202	154	91	220
Sample332	288	77	42	142	300	106	53
Sample333	204	419	39	106	94	18	105
Sample334	551	117	84	69	72	51	42
Sample335	97	501	0	24	231	0	161
Sample336	234	94	70	176	277	145	23
Sample337	442	156	145	86	47	115	24
Sample338	0	53	448	131	132	151	69
Sample339	505	158	93	6	66	90	96
Sample340	496	94	194	35	73	98	18
Sample341	367	69	221	95	35	220	29
Sample342	172	147	114	134	280	34	109
Sample343	478	176	149	20	102	0	102
Sample344	540	77	67	156	44	70	46
Sample345	159	425	90	148	59	0	94
Sample346	104	566	101	50	84	56	23
Sample347	456	151	83	22	68	104	95
Sample348	165	299	65	127	181	0	176
Sample349	221	163	149	0	36	374	29
Sample350	508	94	168	24	84	59	42
Sample351	503	127	90	74	47	112	33
Sample352	299	49	44	133	331	75	87
Sample353	0	143	474	0	52	252	71
Sample354	149	482	56	0	76	142	76
Sample355	392	100	0	163	39	214	60
Sample356	541	41	163	38	80	97	30
Sample357	505	51	177	84	89	71	38
Sample358	325	12	65	163	141	295	0
Sample359	150	239	224	131	26	183	83
Sample360	550	84	129	32	99	26	95
Sample361	481	73	164	115	107	0	68
Sample362	514	118	131	70	80	45	34
Sample363	513	192	72	79	55	42	66
Sample364	241	246	56	148	100	29	163
Sample365	471	115	150	0	61	121	97
Sample366	514	58	155	45	63	160	22
Sample367	153	455	227	12	59	81	41
Sample368	534	166	88	17	88	0	99
Sample369	559	106	145	8	82	48	41
Sample370	542	79	75	98	53	91	48
Sample371	531	51	131	54	108	75	50
Sample372	512	17	143	117	40	132	47
Sample373	245	257	241	64	88	0	121
Sample374	521	143	100	24	117	0	95
Sample375	286	99	18	193	258	165	1
Sample376	0	474	150	125	50	115	70
Sample377	262	212	169	0	146	153	81
Sample378	212	398	70	102	36	63	87
Sample379	481	96	145	117	66	76	33
Sample380	26	284	0	170	173	67	296
Sample381	513	165	105	24	89	0	104
Sample382	201	265	0	133	221	0	197
Sample383	484	77	137	89	62	144	29
Sample384	413	90	136	165	44	169	11
Sample385	468	91	66	90	82	215	16
Sample386	198	263	156	163	19	68	167
Sample387	499	52	106	105	82	69	106
Sample388	482	123	64	89	41	131	78
Sample389	518	107	148	0	69	84	93
Sample390	345	97	38	220	0	276	0
Sample391	94	572	76	0	22	79	122
Sample392	579	0	94	54	95	51	119
Sample393	111	0	118	33	110	333	294
Sample394	221	136	473	0	73	8	53
Sample395	243	221	79	121	112	0	205
Sample396	481	102	99	87	80	66	93
Sample397	555	84	106	54	69	64	47
Sample398	476	55	212	35	58	117	73
Sample399	450	38	105	187	45	122	21
Sample400	169	439	189	69	123	0	46
Sample401	139	0	465	282	0	28	58
Sample402	514	104	84	87	49	125	23
Sample403	514	64	156	128	97	0	26
Sample404	431	23	168	190	96	72	33
Sample405	566	58	52	158	37	86	51
Sample406	233	464	0	76	0	65	150
Sample407	163	196	381	0	123	82	17
Sample408	229	154	105	291	0	0	207
Sample409	71	279	135	192	0	153	152
Sample410	541	41	139	67	98	68	38
Sample411	200	202	274	134	6	120	84
Sample412	498	178	53	98	10	47	101
Sample413	163	299	106	218	0	129	66
Sample414	168	527	142	0	34	69	88
Sample415	278	113	124	145	85	94	143
Sample416	186	93	510	0	46	36	148
Sample417	310	50	117	155	48	279	21
Sample418	139	0	465	282	0	28	58
Sample419	519	146	112	71	96	9	39
Sample420	266	27	116	132	341	128	3
Sample421	105	424	73	103	12	96	162
Sample422	195	30	0	309	240	179	51
Sample423	477	139	163	77	29	69	35
Sample424	211	443	15	163	33	11	110
Sample425	542	147	123	6	103	20	59
Sample426	521	102	89	89	48	54	89
Sample427	244	0	90	216	252	194	7
Sample428	500	67	202	56	70	25	59
Sample429	487	175	112	0	110	1	115
Sample430	139	0	465	282	0	28	58
Sample431	482	19	80	181	35	112	91
Sample432	505	177	115	0	44	144	23
Sample433	111	0	118	33	110	333	294
Sample434	495	87	161	74	74	57	44
Sample435	262	212	169	0	146	153	81
Sample436	510	128	93	133	57	38	49
Sample437	477	41	203	78	54	76	79
Sample438	327	106	30	128	82	312	0
Sample439	166	480	72	0	62	32	161
Sample440	167	507	129	79	27	53	54
Sample441	438	82	292	3	113	27	23
Sample442	466	154	208	0	47	86	20
Sample443	256	241	347	0	93	57	6
Sample444	438	129	95	103	114	0	137
Sample445	504	25	116	153	69	121	25
Sample446	520	97	135	80	69	53	38
Sample447	104	447	56	46	220	39	107
Sample448	519	29	132	101	61	72	71
Sample449	108	523	59	98	34	60	89
Sample450	516	42	131	36	90	0	164
Sample451	480	232	87	38	73	65	39
Sample452	272	71	30	200	259	171	5
Sample453	523	91	128	14	109	18	95
Sample454	165	376	0	73	240	0	160
Sample455	80	547	205	28	33	112	18
Sample456	413	81	141	154	56	71	65
Sample457	458	63	68	111	131	188	0
Sample458	535	49	88	156	38	116	26
Sample459	465	183	113	0	95	43	93
Sample460	212	5	105	218	263	181	34
Sample461	422	186	213	52	61	28	46
Sample462	500	44	138	106	36	123	53
Sample463	187	365	87	108	37	35	148
Sample464	498	134	103	49	47	36	105
Sample465	518	162	88	44	91	23	54
Sample466	437	174	209	10	74	0	96
Sample467	225	285	187	103	18	35	167
Sample468	615	51	107	17	69	86	36
Sample469	516	44	174	51	72	105	30
Sample470	517	168	96	67	55	73	24
Sample471	307	349	77	84	61	32	118
Sample472	238	499	118	15	60	0	105
Sample473	404	146	139	23	63	61	182
Sample474	446	55	65	199	43	157	56
Sample475	58	102	551	0	74	99	86
Sample476	179	261	455	0	30	15	78
Sample477	521	148	64	61	47	31	117
Sample478	536	163	94	30	113	0	44
Sample479	485	205	165	33	78	3	46
Sample480	135	502	112	7	57	72	95
Sample481	510	89	63	157	11	124	32
Sample482	545	71	131	117	78	11	26
Sample483	482	121	108	71	38	104	90
Sample484	526	82	102	96	62	80	38
Sample485	570	99	53	105	51	62	46
Sample486	571	119	120	98	25	0	56
Sample487	191	369	51	70	48	110	144
Sample488	496	25	171	76	76	69	95
Sample489	529	97	116	69	86	44	31
Sample490	566	58	52	158	37	86	51
Sample491	52	527	110	89	35	97	69
Sample492	67	240	0	254	230	0	226
Sample493	430	128	98	79	125	84	79
Sample494	45	401	113	131	0	121	158
Sample495	440	147	168	74	27	109	16
Sample496	199	254	104	0	14	386	15
Sample497	241	128	148	237	0	0	238
Sample498	94	491	122	46	101	0	158
Sample499	461	97	173	95	90	40	36
Sample500	39	110	359	154	119	149	83
Sample501	25	13	419	92	173	99	187
Sample502	559	121	67	87	77	34	47
Sample503	495	261	49	41	46	99	22
Sample504	529	247	41	57	77	26	41
Sample505	483	0	188	135	65	123	22
Sample506	172	240	97	121	57	146	141
Sample507	557	91	126	0	51	101	54
Sample508	469	155	106	77	46	49	98
Sample509	91	233	83	237	200	83	87
Sample510	265	146	105	70	44	339	15
Sample511	265	111	78	168	316	39	38
Sample512	451	111	170	74	66	83	70
Sample513	556	3	129	102	49	121	28
Sample514	312	90	96	57	315	113	43
Sample515	444	70	142	107	0	128	109
Sample516	158	80	70	215	243	227	15
Sample517	531	116	131	45	63	96	26
Sample518	508	101	164	40	82	51	39
Sample519	515	49	194	13	83	128	18
Sample520	512	101	125	94	69	46	45
Sample521	484	65	121	0	129	33	160
Sample522	375	86	50	103	86	269	10
Sample523	242	455	11	63	61	40	107
Sample524	408	16	170	207	51	60	96
Sample525	269	49	95	88	306	158	43
Sample526	491	109	132	116	53	8	70
Sample527	174	66	71	184	296	217	0
Sample528	139	0	465	282	0	28	58
Sample529	496	99	120	96	89	43	36
Sample530	225	222	202	109	0	68	159
Sample531	476	140	116	23	47	166	24
Sample532	283	57	27	143	349	149	5
Sample533	414	116	280	50	53	48	18
Sample534	176	442	36	132	0	53	127
Sample535	429	56	104	211	20	137	67
Sample536	337	208	253	0	35	149	18
Sample537	499	119	90	44	65	26	149
Sample538	438	70	109	104	36	106	129
Sample539	201	81	288	0	117	268	59
Sample540	112	126	138	194	263	173	9
Sample541	381	116	146	94	16	116	123
Sample542	41	517	96	84	2	113	121
Sample543	476	55	177	100	111	49	32
Sample544	510	63	148	117	31	43	68
Sample545	278	38	0	176	305	229	0
Sample546	179	420	181	66	63	25	100
Sample547	591	53	69	0	116	88	62
Sample548	176	88	478	0	97	77	110
Sample549	50	169	407	37	48	141	148
Sample550	546	29	130	88	55	98	42
Sample551	493	84	108	73	61	58	102
Sample552	521	123	91	77	73	74	41
Sample553	473	63	213	74	38	86	37
Sample554	486	110	161	47	45	50	101
Sample555	143	455	134	53	87	0	113
Sample556	526	130	95	107	48	70	44
Sample557	493	129	124	47	24	158	12
Sample558	522	30	173	42	85	89	44
Sample559	351	143	241	41	34	168	22
Sample560	407	46	59	172	48	245	0
Sample561	111	0	118	33	110	333	294
Sample562	549	71	93	106	64	84	41
Sample563	117	498	67	86	61	100	55
Sample564	540	40	91	124	42	108	34
Sample565	510	0	285	35	141	21	22
Sample566	567	149	38	101	94	0	70
Sample567	511	2	140	65	62	108	85
Sample568	105	27	424	91	151	96	75
Sample569	222	258	115	54	22	293	30
Sample570	542	97	128	54	56	0	115
Sample571	550	115	151	0	78	45	46
Sample572	363	94	50	90	107	238	30
Sample573	145	195	475	0	59	112	38
Sample574	435	157	195	36	80	62	15
Sample575	215	49	99	117	368	125	44
Sample576	111	0	118	33	110	333	294
Sample577	454	70	132	122	126	54	42
Sample578	477	191	109	0	137	0	100
Sample579	124	482	159	9	87	0	122
Sample580	558	133	109	0	118	11	52
Sample581	506	14	228	98	28	115	19
Sample582	136	129	144	173	244	165	13
Sample583	509	81	150	38	73	94	47
Sample584	156	490	128	0	73	15	105
Sample585	111	0	118	33	110	333	294
Sample586	499	51	103	119	84	87	57
Sample587	47	272	0	85	211	159	251
Sample588	492	46	128	117	57	82	70
Sample589	212	441	144	40	52	14	111
Sample590	85	298	199	135	28	185	44
Sample591	463	110	183	40	62	119	3
Sample592	141	521	151	46	36	62	78
Sample593	6	212	250	229	77	181	17
Sample594	356	90	1	229	0	247	64
Sample595	488	48	159	109	140	31	33
Sample596	263	188	4	88	315	45	119
Sample597	70	321	78	147	238	0	154
Sample598	433	148	61	132	82	151	28
Sample599	540	117	105	82	60	56	32
Sample600	212	0	59	225	314	183	12
Sample601	533	109	141	8	100	14	87
Sample602	411	33	217	124	96	108	19
Sample603	204	288	133	10	114	151	108
Sample604	562	132	94	64	54	47	61
Sample605	485	93	85	120	50	157	26
Sample606	472	64	136	94	116	113	23
Sample607	424	93	98	106	94	142	70
Sample608	493	137	193	23	57	42	39
Sample609	511	159	117	10	76	78	34
Sample610	155	390	20	42	262	0	145
Sample611	538	153	56	105	74	28	54
Sample612	394	112	0	121	54	300	0
Sample613	492	123	84	0	45	110	146
Sample614	161	111	73	169	278	170	45
Sample615	563	44	121	31	101	73	52
Sample616	496	162	95	99	39	47	41
Sample617	107	425	0	118	230	0	135
Sample618	548	134	90	52	65	78	33
Sample619	521	131	159	82	58	0	38
Sample620	578	76	106	49	87	34	50
Sample621	485	140	99	74	65	29	100
Sample622	543	147	102	62	66	37	35
Sample623	387	109	119	98	70	246	0
Sample624	65	503	148	101	24	66	65
Sample625	307	102	0	241	26	318	0
Sample626	454	170	74	177	55	37	57
Sample627	280	96	68	124	311	119	22
Sample628	280	137	59	113	76	297	55
Sample629	534	180	59	0	66	83	86
Sample630	96	149	541	0	15	162	0
Sample631	467	130	123	126	70	44	26
Sample632	487	124	85	77	48	37	150
Sample633	178	400	105	79	42	0	164
Sample634	157	448	103	103	41	23	99
Sample635	574	82	76	45	90	64	54
Sample636	592	123	54	56	67	42	54
Sample637	490	57	146	104	107	75	36
Sample638	503	148	145	21	54	97	32
Sample639	498	108	198	0	115	15	44
Sample640	237	296	45	160	104	5	133
Sample641	435	170	202	0	49	45	91
Sample642	516	135	145	39	85	41	28
Sample643	224	65	63	126	285	148	103
Sample644	262	414	110	4	47	29	162
Sample645	537	64	146	66	95	55	18
Sample646	114	442	54	11	257	0	135
Sample647	139	472	102	70	108	0	94
Sample648	0	402	61	119	197	36	187
Sample649	382	111	196	164	47	80	20
Sample650	400	152	137	51	71	0	197
Sample651	496	76	119	67	67	122	45
Sample652	461	175	124	21	79	0	158
Sample653	460	58	187	118	82	0	87
Sample654	189	355	223	42	16	111	91
Sample655	506	119	86	126	110	10	35
Sample656	551	140	157	42	78	0	32
Sample657	472	75	214	0	128	74	22
Sample658	289	129	489	0	78	0	56
Sample659	322	176	42	138	37	259	0
Sample660	105	254	6	176	267	0	209
Sample661	121	471	95	80	64	0	136
Sample662	161	484	95	81	26	107	15
Sample663	432	85	74	133	92	141	58
Sample664	511	80	132	57	60	60	85
Sample665	167	106	171	137	295	137	3
Sample666	104	408	0	173	185	0	135
Sample667	229	117	585	0	41	22	38
Sample668	599	124	114	1	45	57	49
Sample669	321	112	0	187	344	40	3
Sample670	304	274	73	174	52	0	138
Sample671	128	411	60	137	13	82	163
Sample672	494	51	119	166	47	88	43
Sample673	559	121	67	87	77	34	47
Sample674	295	38	99	158	139	260	19
Sample675	497	82	146	73	84	72	31
Sample676	246	93	100	184	256	137	0
Sample677	485	131	205	0	96	50	48
Sample678	298	121	140	72	116	261	0
Sample679	418	7	44	167	44	198	97
Sample680	544	110	107	43	101	31	43
Sample681	443	59	108	142	68	43	137
Sample682	461	107	55	187	48	41	93
Sample683	439	131	167	41	61	82	64
Sample684	530	131	140	5	50	110	26
Sample685	169	442	3	29	183	0	185
Sample686	445	0	255	71	59	150	28
Sample687	478	0	123	162	50	103	92
Sample688	547	125	123	20	97	27	53
Sample689	566	58	52	158	37	86	51
Sample690	70	398	0	129	175	0	245
Sample691	519	80	180	17	65	1	109
Sample692	418	168	204	14	97	0	107
Sample693	553	130	39	107	58	37	62
Sample694	553	106	102	76	35	94	34
Sample695	483	83	115	96	40	80	103
Sample696	531	78	151	57	73	54	41
Sample697	180	347	129	139	26	51	105
Sample698	511	125	98	27	119	57	44
Sample699	84	456	92	63	91	0	222
Sample700	189	449	156	0	48	40	152
Sample701	489	102	149	45	57	71	102
Sample702	515	115	11	194	24	62	92
Sample703	303	198	71	66	162	185	28
Sample704	551	30	63	164	41	113	52
Sample705	224	430	121	28	64	0	101
Sample706	459	78	273	17	83	58	32
Sample707	544	35	137	85	49	104	35
Sample708	152	335	158	68	134	76	64
Sample709	105	35	433	91	139	114	84
Sample710	501	107	200	0	89	33	48
Sample711	150	373	47	107	65	53	192
Sample712	0	99	439	155	151	127	10
Sample713	602	54	94	88	63	24	64
Sample714	218	445	145	14	62	30	101
Sample715	470	73	57	172	25	114	116
Sample716	453	113	141	96	50	112	35
Sample717	139	0	465	282	0	28	58
Sample718	20	451	147	119	47	40	156
Sample719	199	361	196	0	177	0	101
Sample720	421	100	146	57	134	49	78
Sample721	568	101	65	126	45	39	43
Sample722	112	364	190	149	5	44	151
Sample723	476	137	76	61	54	24	185
Sample724	529	75	186	75	21	101	28
Sample725	129	405	84	112	37	64	170
Sample726	123	522	72	33	59	73	85
Sample727	456	133	157	108	21	78	35
Sample728	469	142	130	124	65	76	10
Sample729	278	187	143	167	0	0	211
Sample730	105	356	200	122	38	89	73
Sample731	201	432	145	61	52	60	83
Sample732	446	125	212	70	56	45	38
