Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence
Sample33	180	0.958	68.467	38.037%	9.813	29.27%	0.1815
Sample34	64	0.961	15.635	24.43%	3.606	27.821%	0.1109
Sample35	66	0.95	20.213	30.626%	4.024	31.422%	0.2486
Sample36	77	0.959	23.636	30.696%	4.193	28.596%	0.1514
Sample37	71	0.96	25.833	36.385%	3.896	28.19%	0.2032
Sample38	65	0.967	17.166	26.409%	3.199	25.37%	0.1663
Sample39	194	0.947	78.305	40.363%	12.282	32.825%	0.1866
Sample40	67	0.96	18.594	27.752%	3.838	28.218%	0.1972
Sample41	97	0.952	38.354	39.54%	5.963	30.711%	0.2375
Sample42	58	0.971	14.185	24.457%	2.756	23.988%	0.1534
Sample43	45	0.835	34.204	76.009%	5.74	54.979%	0.54
Sample44	97	0.97	32.509	33.514%	4.861	24.583%	0.1832
Sample45	107	0.958	36.989	34.569%	5.868	29.377%	0.185
Sample46	103	0.961	37.186	36.103%	5.929	27.735%	0.218
Sample47	62	0.929	21.655	34.927%	4.521	37.162%	0.2283
Sample48	45	0.835	34.204	76.009%	5.74	54.979%	0.54
Sample49	64	0.954	19.02	29.719%	3.691	30.137%	0.2029
Sample50	70	0.906	30.658	43.797%	5.991	42.363%	0.2509
Sample51	62	0.958	19.498	31.448%	3.777	29.315%	0.1521
Sample52	89	0.96	28.755	32.309%	4.708	28.186%	0.1772
Sample53	45	0.835	34.204	76.009%	5.74	54.979%	0.54
Sample54	65	0.965	18.082	27.818%	3.484	26.488%	0.1843
Sample55	54	0.891	32.945	61.009%	4.899	45.486%	0.4934
Sample56	89	0.931	39.114	43.948%	6.274	36.653%	0.2673
Sample57	71	0.956	21.295	29.993%	4.25	29.683%	0.1763
Sample58	68	0.951	26.641	39.178%	4.171	30.918%	0.255
Sample59	107	0.966	39.149	36.588%	6.082	26.853%	0.1946
Sample60	63	0.955	21.377	33.932%	3.515	30.031%	0.1921
Sample61	67	0.909	29.124	43.469%	5.265	42.846%	0.3299
Sample62	99	0.969	35.233	35.589%	5.233	25.324%	0.1796
Sample63	59	0.957	14.911	25.273%	3.471	29.026%	0.1056
Sample64	103	0.976	33.118	32.153%	4.969	23.043%	0.1718
Sample65	99	0.916	55.764	56.327%	8.403	40.197%	0.3944
Sample66	66	0.978	13.833	20.959%	2.635	20.832%	0.1366
Sample67	60	0.975	13.991	23.318%	2.638	22.456%	0.1659
Sample68	97	0.969	34.577	35.646%	5.359	25.995%	0.1698
Sample69	66	0.974	16.083	24.368%	3.036	23.016%	0.1503
Sample70	72	0.914	33.463	46.476%	5.628	41.046%	0.4111
Sample71	67	0.931	24.651	36.793%	4.679	37.107%	0.3384
Sample72	75	0.952	24.698	32.931%	4.526	30.584%	0.1808
Sample73	65	0.963	18.688	28.751%	3.452	26.874%	0.2066
Sample74	60	0.974	13.971	23.285%	2.64	22.806%	0.1364
Sample75	69	0.94	26.198	37.968%	4.542	34.334%	0.2316
Sample76	67	0.955	25.375	37.873%	3.925	29.841%	0.2187
Sample77	193	0.959	67.349	34.896%	10.884	28.612%	0.1872
Sample78	102	0.966	37.132	36.404%	5.153	25.96%	0.2036
Sample79	93	0.951	41.126	44.222%	6.122	31.201%	0.2514
Sample80	45	0.835	34.204	76.009%	5.74	54.979%	0.54
Sample81	71	0.935	27.362	38.538%	5.198	35.616%	0.2547
Sample82	62	0.952	20.982	33.842%	3.717	30.554%	0.1841
Sample83	90	0.972	33.317	37.019%	4.815	24.7%	0.2065
Sample84	87	0.97	31.092	35.738%	4.478	24.839%	0.1899
Sample85	97	0.975	33.463	34.498%	5.489	25.028%	0.18
Sample86	89	0.965	35.102	39.44%	4.989	26.629%	0.2516
Sample87	59	0.948	21.92	37.153%	3.844	31.923%	0.1861
Sample88	89	0.94	34.722	39.013%	5.925	34.265%	0.2046
Sample89	67	0.977	15.414	23.006%	2.865	21.657%	0.1808
Sample90	63	0.965	19.655	31.198%	3.426	26.671%	0.188
Sample91	65	0.936	21.931	33.74%	4.675	35.34%	0.2811
Sample92	67	0.954	20.377	30.413%	3.891	30.109%	0.1686
Sample93	76	0.946	26.663	35.083%	4.775	32.641%	0.305
Sample94	88	0.975	25.852	29.377%	3.901	22.598%	0.1801
Sample95	65	0.955	22.639	34.829%	3.778	29.775%	0.1584
Sample96	63	0.938	19.567	31.059%	4.161	35.293%	0.1885
Sample97	66	0.972	14.951	22.653%	3.018	23.567%	0.1108
Sample98	136	0.953	52.657	38.718%	7.725	30.584%	0.211
Sample99	90	0.875	51.064	56.738%	9.395	48.451%	0.3104
Sample100	65	0.944	21.0	32.308%	4.155	33.161%	0.1707
